temps,ACTU,MILIEU,LASER,LASER_ESTIME,TENSION_ACTU,TENSION_MILIEU,TENSION_LASER,DUTY CYCLE (0 - 1000)
890.0,21.231,21.568,21.885,22.119,2.708,2.69,2.672,439.0,1.0
892.0,21.231,21.589,21.952,22.123,2.708,2.688,2.668,439.0,1.0
894.0,21.34,21.589,21.885,22.126,2.702,2.688,2.672,439.0,1.0
896.0,21.319,21.589,21.885,22.129,2.704,2.688,2.672,439.0,1.0
898.0,21.319,21.589,21.885,22.132,2.704,2.688,2.672,439.0,1.0
900.0,21.231,21.61,21.885,22.136,2.708,2.687,2.672,436.0,1.0
902.0,21.252,21.589,21.994,22.138,2.707,2.688,2.666,436.0,1.0
904.0,21.319,21.61,21.906,22.142,2.704,2.687,2.671,436.0,1.0
906.0,21.231,21.61,21.994,22.145,2.708,2.687,2.666,436.0,1.0
908.0,21.21,21.698,21.906,22.156,2.71,2.682,2.671,436.0,1.0
910.0,21.21,21.677,21.973,22.164,2.71,2.684,2.667,436.0,1.0
912.0,21.21,21.61,21.885,22.165,2.71,2.687,2.672,436.0,1.0
914.0,21.297,21.61,21.973,22.166,2.705,2.687,2.667,436.0,1.0
916.0,21.21,21.698,21.973,22.174,2.71,2.682,2.667,436.0,1.0
918.0,21.189,21.589,21.885,22.173,2.711,2.688,2.672,436.0,1.0
920.0,21.21,21.698,21.885,22.181,2.71,2.682,2.672,436.0,1.0
922.0,21.21,21.698,21.906,22.188,2.71,2.682,2.671,436.0,1.0
924.0,21.189,21.61,21.906,22.187,2.711,2.687,2.671,436.0,1.0
926.0,21.276,21.719,21.906,22.195,2.706,2.681,2.671,436.0,1.0
928.0,21.189,21.719,21.994,22.203,2.711,2.681,2.666,436.0,1.0
930.0,21.276,21.719,21.994,22.209,2.706,2.681,2.666,436.0,1.0
932.0,21.189,21.631,21.994,22.208,2.711,2.686,2.666,436.0,1.0
934.0,21.21,21.61,21.885,22.205,2.71,2.687,2.672,436.0,1.0
936.0,21.21,21.61,21.906,22.202,2.71,2.687,2.671,436.0,1.0
938.0,21.21,21.719,21.906,22.209,2.71,2.681,2.671,436.0,1.0
940.0,21.276,21.631,21.906,22.207,2.706,2.686,2.671,436.0,1.0
942.0,21.297,21.61,21.906,22.204,2.705,2.687,2.671,436.0,1.0
944.0,21.21,21.719,21.994,22.211,2.71,2.681,2.666,436.0,1.0
946.0,21.21,21.631,21.994,22.209,2.71,2.686,2.666,436.0,1.0
948.0,21.21,21.631,21.906,22.208,2.71,2.686,2.671,436.0,1.0
950.0,21.231,21.631,21.927,22.207,2.708,2.686,2.67,436.0,1.0
952.0,21.231,21.631,21.927,22.205,2.708,2.686,2.67,436.0,1.0
954.0,21.21,21.698,21.927,22.21,2.71,2.682,2.67,436.0,1.0
956.0,21.21,21.719,22.015,22.216,2.71,2.681,2.665,436.0,1.0
958.0,21.21,21.631,21.948,22.214,2.71,2.686,2.669,436.0,1.0
960.0,21.231,21.631,22.036,22.212,2.708,2.686,2.664,436.0,1.0
962.0,21.21,21.631,21.948,22.21,2.71,2.686,2.669,436.0,1.0
964.0,21.21,21.631,21.948,22.209,2.71,2.686,2.669,436.0,1.0
966.0,21.21,21.631,22.036,22.208,2.71,2.686,2.664,436.0,1.0
968.0,21.21,21.719,21.948,22.214,2.71,2.681,2.669,436.0,1.0
970.0,21.231,21.631,21.927,22.212,2.708,2.686,2.67,436.0,1.0
972.0,21.231,21.631,22.036,22.21,2.708,2.686,2.664,436.0,1.0
974.0,21.231,21.631,21.948,22.209,2.708,2.686,2.669,436.0,1.0
976.0,21.231,21.631,22.015,22.207,2.708,2.686,2.665,436.0,1.0
978.0,21.231,21.652,22.015,22.208,2.708,2.685,2.665,436.0,1.0
980.0,21.231,21.631,21.948,22.207,2.708,2.686,2.669,436.0,1.0
982.0,21.231,21.652,21.969,22.207,2.708,2.685,2.667,436.0,1.0
984.0,21.252,21.652,21.969,22.208,2.707,2.685,2.667,436.0,1.0
986.0,21.252,21.652,21.969,22.208,2.707,2.685,2.667,432.0,1.0
988.0,21.252,21.74,21.969,22.216,2.707,2.68,2.667,432.0,1.0
990.0,21.252,21.674,21.969,22.218,2.707,2.684,2.667,432.0,1.0
992.0,21.34,21.652,21.969,22.218,2.702,2.685,2.667,432.0,1.0
994.0,21.34,21.74,22.057,22.225,2.702,2.68,2.662,432.0,1.0
996.0,21.319,21.652,21.969,22.224,2.704,2.685,2.667,432.0,1.0
998.0,21.297,21.674,21.948,22.224,2.705,2.684,2.669,432.0,1.0
1000.0,21.297,21.74,21.948,22.231,2.705,2.68,2.669,432.0,1.0
1002.0,21.297,21.652,21.948,22.229,2.705,2.685,2.669,432.0,1.0
1004.0,21.297,21.652,21.948,22.228,2.705,2.685,2.669,432.0,1.0
1006.0,21.276,21.652,21.948,22.226,2.706,2.685,2.669,432.0,1.0
1008.0,21.189,21.74,22.057,22.233,2.711,2.68,2.662,432.0,1.0
1010.0,21.21,21.719,21.948,22.237,2.71,2.681,2.669,432.0,1.0
1012.0,21.276,21.631,22.036,22.232,2.706,2.686,2.664,432.0,1.0
1014.0,21.189,21.631,22.036,22.229,2.711,2.686,2.664,432.0,1.0
1016.0,21.276,21.74,21.948,22.235,2.706,2.68,2.669,432.0,1.0
1018.0,21.21,21.74,21.948,22.24,2.71,2.68,2.669,432.0,1.0
1020.0,21.189,21.652,22.036,22.238,2.711,2.685,2.664,432.0,1.0
1022.0,21.189,21.652,22.036,22.235,2.711,2.685,2.664,432.0,1.0
1024.0,21.167,21.631,22.036,22.231,2.712,2.686,2.664,432.0,1.0
1026.0,21.167,21.719,22.036,22.235,2.712,2.681,2.664,432.0,1.0
1028.0,21.167,21.631,21.948,22.231,2.712,2.686,2.669,432.0,1.0
1030.0,21.255,21.719,22.036,22.235,2.707,2.681,2.664,432.0,1.0
1032.0,21.255,21.719,21.927,22.239,2.707,2.681,2.67,432.0,1.0
1034.0,21.234,21.719,21.927,22.242,2.708,2.681,2.67,432.0,1.0
1036.0,21.234,21.631,21.927,22.238,2.708,2.686,2.67,432.0,1.0
1038.0,21.255,21.652,22.036,22.235,2.707,2.685,2.664,432.0,1.0
1040.0,21.255,21.719,22.036,22.239,2.707,2.681,2.664,432.0,1.0
1042.0,21.167,21.631,22.036,22.235,2.712,2.686,2.664,432.0,1.0
1044.0,21.167,21.719,22.015,22.238,2.712,2.681,2.665,432.0,1.0
1046.0,21.167,21.719,22.015,22.242,2.712,2.681,2.665,432.0,1.0
1048.0,21.255,21.631,21.927,22.237,2.707,2.686,2.67,432.0,1.0
1050.0,21.167,21.631,21.927,22.233,2.712,2.686,2.67,432.0,1.0
1052.0,21.255,21.719,21.927,22.237,2.707,2.681,2.67,432.0,1.0
1054.0,21.146,21.719,22.015,22.24,2.713,2.681,2.665,432.0,1.0
1056.0,21.167,21.631,21.927,22.236,2.712,2.686,2.67,432.0,1.0
1058.0,21.146,21.631,21.927,22.232,2.713,2.686,2.67,432.0,1.0
1060.0,21.167,21.719,21.927,22.236,2.712,2.681,2.67,429.0,1.0
1062.0,21.255,21.719,22.015,22.239,2.707,2.681,2.665,429.0,1.0
1064.0,21.234,21.719,21.927,22.243,2.708,2.681,2.67,429.0,1.0
1066.0,21.213,21.719,22.015,22.246,2.709,2.681,2.665,429.0,1.0
1068.0,21.125,21.719,21.927,22.248,2.714,2.681,2.67,429.0,1.0
1070.0,21.125,21.719,22.015,22.251,2.714,2.681,2.665,429.0,1.0
1072.0,21.125,21.719,22.015,22.253,2.714,2.681,2.665,429.0,1.0
1074.0,21.125,21.719,22.015,22.255,2.714,2.681,2.665,429.0,1.0
1076.0,21.213,21.719,22.015,22.256,2.709,2.681,2.665,429.0,1.0
1078.0,21.125,21.698,22.015,22.256,2.714,2.682,2.665,429.0,1.0
1080.0,21.125,21.698,21.927,22.256,2.714,2.682,2.67,429.0,1.0
1082.0,21.192,21.61,21.927,22.248,2.711,2.687,2.67,429.0,1.0
1084.0,21.192,21.698,21.927,22.249,2.711,2.682,2.67,429.0,1.0
1086.0,21.083,21.589,22.015,22.24,2.717,2.688,2.665,429.0,1.0
1088.0,21.171,21.698,22.015,22.241,2.712,2.682,2.665,429.0,1.0
1090.0,21.171,21.698,22.015,22.242,2.712,2.682,2.665,429.0,1.0
1092.0,21.171,21.677,21.927,22.242,2.712,2.684,2.67,429.0,1.0
1094.0,21.171,21.677,21.927,22.241,2.712,2.684,2.67,429.0,1.0
1096.0,21.171,21.677,21.994,22.24,2.712,2.684,2.666,429.0,1.0
1098.0,21.171,21.677,21.927,22.24,2.712,2.684,2.67,429.0,1.0
1100.0,21.171,21.677,21.927,22.24,2.712,2.684,2.67,429.0,1.0
1102.0,21.083,21.589,21.994,22.231,2.717,2.688,2.666,429.0,1.0
1104.0,21.062,21.677,21.994,22.232,2.718,2.684,2.666,429.0,1.0
1106.0,21.062,21.677,21.994,22.232,2.718,2.684,2.666,429.0,1.0
1108.0,21.15,21.698,21.906,22.234,2.713,2.682,2.671,429.0,1.0
1110.0,21.083,21.677,21.973,22.234,2.717,2.684,2.667,429.0,1.0
1112.0,21.083,21.589,21.994,22.227,2.717,2.688,2.666,429.0,1.0
1114.0,21.062,21.677,21.973,22.228,2.718,2.684,2.667,429.0,1.0
1116.0,21.062,21.656,21.973,22.227,2.718,2.685,2.667,429.0,1.0
1118.0,21.083,21.656,21.973,22.226,2.717,2.685,2.667,429.0,1.0
1120.0,21.083,21.656,21.973,22.225,2.717,2.685,2.667,429.0,1.0
1122.0,21.171,21.568,21.973,22.216,2.712,2.69,2.667,429.0,1.0
1124.0,21.062,21.656,21.973,22.216,2.718,2.685,2.667,429.0,1.0
1126.0,21.041,21.568,21.885,22.209,2.719,2.69,2.672,429.0,1.0
1128.0,21.041,21.568,21.973,22.202,2.719,2.69,2.667,429.0,1.0
1130.0,21.129,21.656,21.973,22.203,2.714,2.685,2.667,429.0,1.0
1132.0,21.15,21.568,21.885,22.197,2.713,2.69,2.672,426.0,1.0
1134.0,21.15,21.656,21.864,22.199,2.713,2.685,2.673,426.0,1.0
1136.0,21.062,21.568,21.973,22.193,2.718,2.69,2.667,426.0,1.0
1138.0,21.129,21.568,21.973,22.188,2.714,2.69,2.667,426.0,1.0
1140.0,21.108,21.656,21.973,22.19,2.715,2.685,2.667,426.0,1.0
1142.0,21.02,21.635,21.994,22.191,2.72,2.686,2.666,426.0,1.0
1144.0,21.108,21.656,21.994,22.193,2.715,2.685,2.666,426.0,1.0
1146.0,21.108,21.635,21.906,22.194,2.715,2.686,2.671,426.0,1.0
1148.0,21.108,21.547,21.927,22.187,2.715,2.691,2.67,426.0,1.0
1150.0,21.087,21.635,21.927,22.188,2.716,2.686,2.67,426.0,1.0
1152.0,21.108,21.723,22.015,22.196,2.715,2.681,2.665,426.0,1.0
1154.0,21.108,21.635,22.015,22.196,2.715,2.686,2.665,426.0,1.0
1156.0,21.196,21.547,22.015,22.189,2.71,2.691,2.665,426.0,1.0
1158.0,21.087,21.635,21.927,22.19,2.716,2.686,2.67,426.0,1.0
1160.0,21.174,21.547,22.015,22.183,2.712,2.691,2.665,426.0,1.0
1162.0,20.999,21.635,21.994,22.184,2.721,2.686,2.666,426.0,1.0
1164.0,21.087,21.635,21.994,22.186,2.716,2.686,2.666,426.0,1.0
1166.0,21.087,21.635,21.994,22.187,2.716,2.686,2.666,426.0,1.0
1168.0,21.087,21.635,21.973,22.188,2.716,2.686,2.667,426.0,1.0
1170.0,20.999,21.614,21.973,22.187,2.721,2.687,2.667,426.0,1.0
1172.0,20.999,21.614,21.973,22.186,2.721,2.687,2.667,426.0,1.0
1174.0,20.978,21.614,21.994,22.185,2.723,2.687,2.666,426.0,1.0
1176.0,21.087,21.614,21.994,22.185,2.716,2.687,2.666,426.0,1.0
1178.0,21.087,21.526,21.885,22.177,2.716,2.692,2.672,426.0,1.0
1180.0,20.978,21.614,21.973,22.177,2.723,2.687,2.667,426.0,1.0
1182.0,21.066,21.526,21.994,22.169,2.718,2.692,2.666,426.0,1.0
1184.0,20.978,21.614,21.994,22.17,2.723,2.687,2.666,426.0,1.0
1186.0,20.978,21.593,21.973,22.169,2.723,2.688,2.667,426.0,1.0
1188.0,21.066,21.593,21.885,22.168,2.718,2.688,2.672,426.0,1.0
1190.0,21.066,21.593,21.973,22.168,2.718,2.688,2.667,426.0,1.0
1192.0,21.045,21.593,21.994,22.167,2.719,2.688,2.666,426.0,1.0
1194.0,21.045,21.505,21.994,22.159,2.719,2.693,2.666,426.0,1.0
1196.0,20.957,21.593,22.082,22.159,2.724,2.688,2.661,426.0,1.0
1198.0,21.045,21.593,21.906,22.159,2.719,2.688,2.671,426.0,1.0
1200.0,21.045,21.593,21.973,22.159,2.719,2.688,2.667,426.0,1.0
1202.0,21.023,21.593,21.885,22.159,2.72,2.688,2.672,426.0,1.0
1204.0,21.023,21.593,21.864,22.159,2.72,2.688,2.673,426.0,1.0
1206.0,21.023,21.593,21.952,22.159,2.72,2.688,2.668,426.0,1.0
1208.0,20.936,21.572,21.952,22.157,2.725,2.689,2.668,426.0,1.0
1210.0,21.023,21.572,21.952,22.156,2.72,2.689,2.668,426.0,1.0
1212.0,21.023,21.572,21.93,22.154,2.72,2.689,2.67,426.0,1.0
1214.0,21.023,21.572,21.909,22.153,2.72,2.689,2.671,426.0,1.0
1216.0,21.002,21.572,21.93,22.152,2.721,2.689,2.67,426.0,1.0
1218.0,21.002,21.463,21.93,22.142,2.721,2.696,2.67,426.0,1.0
1220.0,21.002,21.551,21.93,22.14,2.721,2.691,2.67,426.0,1.0
1222.0,21.002,21.551,21.909,22.138,2.721,2.691,2.671,426.0,1.0
1224.0,21.023,21.551,21.93,22.136,2.72,2.691,2.67,426.0,1.0
1226.0,21.023,21.551,21.93,22.135,2.72,2.691,2.67,426.0,1.0
1228.0,21.045,21.551,21.93,22.134,2.719,2.691,2.67,426.0,1.0
1230.0,20.957,21.551,21.93,22.133,2.724,2.691,2.67,426.0,1.0
1232.0,21.045,21.463,21.909,22.124,2.719,2.696,2.671,422.0,1.0
1234.0,21.045,21.551,21.93,22.124,2.719,2.691,2.67,422.0,1.0
1236.0,21.045,21.551,21.93,22.124,2.719,2.691,2.67,422.0,1.0
1238.0,21.002,21.551,21.93,22.124,2.721,2.691,2.67,422.0,1.0
1240.0,20.981,21.617,21.93,22.129,2.722,2.687,2.67,422.0,1.0
1242.0,20.96,21.529,21.93,22.127,2.723,2.692,2.67,422.0,1.0
1244.0,20.96,21.529,21.909,22.125,2.723,2.692,2.671,422.0,1.0
1246.0,20.939,21.508,21.909,22.121,2.725,2.693,2.671,422.0,1.0
1248.0,20.96,21.529,21.93,22.119,2.723,2.692,2.67,422.0,1.0
1250.0,20.939,21.617,21.909,22.125,2.725,2.687,2.671,422.0,1.0
1252.0,20.851,21.508,21.909,22.121,2.73,2.693,2.671,422.0,1.0
1254.0,20.939,21.508,21.888,22.118,2.725,2.693,2.672,422.0,1.0
1256.0,20.83,21.508,21.909,22.115,2.731,2.693,2.671,422.0,1.0
1258.0,20.939,21.529,21.888,22.113,2.725,2.692,2.672,422.0,1.0
1260.0,20.918,21.529,21.997,22.113,2.726,2.692,2.666,422.0,1.0
1262.0,20.939,21.508,21.909,22.11,2.725,2.693,2.671,422.0,1.0
1264.0,20.918,21.508,21.909,22.107,2.726,2.693,2.671,422.0,1.0
1266.0,20.939,21.596,21.888,22.113,2.725,2.688,2.672,422.0,1.0
1268.0,20.918,21.508,21.888,22.11,2.726,2.693,2.672,422.0,1.0
1270.0,20.939,21.596,21.867,22.115,2.725,2.688,2.673,422.0,1.0
1272.0,20.939,21.508,21.867,22.112,2.725,2.693,2.673,422.0,1.0
1274.0,20.939,21.508,21.867,22.11,2.725,2.693,2.673,422.0,1.0
1276.0,21.006,21.508,21.758,22.107,2.721,2.693,2.679,422.0,1.0
1278.0,20.918,21.508,21.846,22.105,2.726,2.693,2.674,422.0,1.0
1280.0,20.897,21.508,21.846,22.103,2.727,2.693,2.674,422.0,1.0
1282.0,20.897,21.487,21.846,22.1,2.727,2.694,2.674,422.0,1.0
1284.0,20.985,21.575,21.846,22.104,2.722,2.689,2.674,422.0,1.0
1286.0,20.897,21.487,21.846,22.1,2.727,2.694,2.674,422.0,1.0
1288.0,20.897,21.487,21.846,22.097,2.727,2.694,2.674,422.0,1.0
1290.0,20.897,21.487,21.825,22.094,2.727,2.694,2.675,422.0,1.0
1292.0,20.897,21.487,21.825,22.091,2.727,2.694,2.675,422.0,1.0
1294.0,20.876,21.466,21.825,22.087,2.728,2.695,2.675,422.0,1.0
1296.0,20.876,21.466,21.825,22.083,2.728,2.695,2.675,422.0,1.0
1298.0,20.964,21.554,21.804,22.087,2.723,2.69,2.677,422.0,1.0
1300.0,20.876,21.466,21.804,22.083,2.728,2.695,2.677,422.0,1.0
1302.0,20.876,21.554,21.804,22.087,2.728,2.69,2.677,422.0,1.0
1304.0,20.876,21.466,21.825,22.084,2.728,2.695,2.675,422.0,1.0
1306.0,20.876,21.466,21.825,22.08,2.728,2.695,2.675,422.0,1.0
1308.0,20.964,21.445,21.825,22.075,2.723,2.697,2.675,422.0,1.0
1310.0,20.943,21.445,21.825,22.07,2.724,2.697,2.675,422.0,1.0
1312.0,20.855,21.445,21.825,22.066,2.729,2.697,2.675,422.0,1.0
1314.0,20.876,21.445,21.825,22.063,2.728,2.697,2.675,422.0,1.0
1316.0,20.855,21.424,21.825,22.058,2.729,2.698,2.675,422.0,1.0
1318.0,20.746,21.424,21.825,22.053,2.735,2.698,2.675,422.0,1.0
1320.0,20.855,21.445,21.825,22.051,2.729,2.697,2.675,422.0,1.0
1322.0,20.855,21.445,21.804,22.048,2.729,2.697,2.677,422.0,1.0
1324.0,20.834,21.424,21.825,22.045,2.731,2.698,2.675,422.0,1.0
1326.0,20.834,21.424,21.804,22.041,2.731,2.698,2.677,422.0,1.0
1328.0,20.813,21.424,21.804,22.038,2.732,2.698,2.677,422.0,1.0
1330.0,20.813,21.403,21.804,22.034,2.732,2.699,2.677,422.0,1.0
